2017-06-10T19:07:38.136 : addOrder : --Order Number: 94Name: Gia : Order Date: 2001-01-02 : State: Ohio : Product Type: Wood : Area: 199 : Material Cost: 1024.85 : Labor Cost: 825.85 : Tax Amount: 64.053125 : Total: 1914.753125
2017-06-10T19:13:00.741 : addOrder : --Order Number: 95; Name: Deon; Order Date: 2001-01-02; State: Ohio; Product Type: Tile; Area: 199.00; Material Cost: 696.50; Labor Cost: 825.85; Tax Amount: 43.53; Total: 1565.88
2017-06-10T19:17:18.562 : removeOrder : --Order Number: 84; Name: Yelle; Order Date: 2001-01-01; State: Ohio; Product Type: Tile; Area: 100.00; Material Cost: 350.00; Labor Cost: 415.00; Tax Amount: 21.88; Total: 786.88
2017-06-10T19:18:36.164 : processNewEdit : --Order Number: 87; Name: Tom; Order Date: 2001-01-02; State: Ohio; Product Type: Tile; Area: 1299.00; Material Cost: 4546.50; Labor Cost: 5390.85; Tax Amount: 284.16; Total: 10221.51
2017-06-10T19:29:32.211 : auditPreEdit : --Order Number: 83; Name: Jill; Order Date: 2001-01-01; State: Ohio; Product Type: Wood; Area: 12.00; Material Cost: 61.80; Labor Cost: 49.80; Tax Amount: 3.86; Total: 115.46
2017-06-10T19:29:44.493 : processNewEdit : --Order Number: 83; Name: Jill; Order Date: 2001-01-02; State: Ohio; Product Type: Wood; Area: 12.00; Material Cost: 61.80; Labor Cost: 49.80; Tax Amount: 3.86; Total: 115.46
2017-06-10T20:14:29.374 : addOrder : --Order Number: 96; Name: Alli; Order Date: 2001-01-03; State: Ohio; Product Type: Tile; Area: 5280.00; Material Cost: 18480.00; Labor Cost: 21912.00; Tax Amount: 1155.00; Total: 41547.00
2017-06-10T20:15:15.776 : auditPreEdit : --Order Number: 96; Name: Alli; Order Date: 2001-01-03; State: Ohio; Product Type: Tile; Area: 5280.00; Material Cost: 18480.00; Labor Cost: 21912.00; Tax Amount: 1155.00; Total: 41547.00
2017-06-10T20:26:00.364 : addOrder : --Order Number: 97; Name: Dan; Order Date: 2002-02-02; State: Ohio; Product Type: Wood; Area: 21920.00; Material Cost: 112888.00; Labor Cost: 90968.00; Tax Amount: 7055.50; Total: 210911.50
2017-06-10T20:27:52.238 : auditPreEdit : --Order Number: 97; Name: Dan; Order Date: 2002-02-02; State: Ohio; Product Type: Wood; Area: 21920.00; Material Cost: 112888.00; Labor Cost: 90968.00; Tax Amount: 7055.50; Total: 210911.50
2017-06-10T20:29:10.584 : auditPreEdit : --Order Number: 97; Name: Dan; Order Date: 2002-02-03; State: Ohio; Product Type: Wood; Area: 21920.00; Material Cost: 112888.00; Labor Cost: 90968.00; Tax Amount: 7055.50; Total: 210911.50
2017-06-10T20:42:58.763 : auditPreEdit : --Order Number: 97; Name: Dan; Order Date: 2002-02-03; State: Ohio; Product Type: Wood; Area: 21920.00; Material Cost: 112888.00; Labor Cost: 90968.00; Tax Amount: 7055.50; Total: 210911.50
